time,waist_pos,shoulder_pos,elbow_pos,forearm_roll_pos,wrist_angle_pos,wrist_rotate_pos
1.782207015531441212e+09,-7.056311517953872681e-02,-1.558524489402770996e+00,1.271670103073120117e+00,3.067961661145091057e-03,4.540583193302154541e-01,-6.596117466688156128e-02
1.782207015541505814e+09,-7.056311517953872681e-02,-1.566194415092468262e+00,1.273204088211059570e+00,3.067961661145091057e-03,4.540583193302154541e-01,-6.596117466688156128e-02
1.782207015551683426e+09,-7.056311517953872681e-02,-1.573864340782165527e+00,1.277806043624877930e+00,3.067961661145091057e-03,4.540583193302154541e-01,-6.596117466688156128e-02
1.782207015561384678e+09,-7.056311517953872681e-02,-1.581534266471862793e+00,1.280874013900756836e+00,3.067961661145091057e-03,4.555923044681549072e-01,-6.749515980482101440e-02
1.782207015571550131e+09,-6.902913749217987061e-02,-1.589204192161560059e+00,1.283941984176635742e+00,3.067961661145091057e-03,4.555923044681549072e-01,-6.902913749217987061e-02
1.782207015581208467e+09,-6.902913749217987061e-02,-1.596873998641967773e+00,1.285475969314575195e+00,3.067961661145091057e-03,4.555923044681549072e-01,-6.902913749217987061e-02
1.782207015591266632e+09,-6.902913749217987061e-02,-1.603009939193725586e+00,1.287009954452514648e+00,3.067961661145091057e-03,4.571262896060943604e-01,-6.902913749217987061e-02
1.782207015601418734e+09,-6.749515980482101440e-02,-1.607611894607543945e+00,1.288543939590454102e+00,3.067961661145091057e-03,4.586602747440338135e-01,-6.749515980482101440e-02
1.782207015611248970e+09,-6.749515980482101440e-02,-1.613747835159301758e+00,1.288543939590454102e+00,3.067961661145091057e-03,4.601942598819732666e-01,-6.596117466688156128e-02
1.782207015621193409e+09,-6.596117466688156128e-02,-1.618349790573120117e+00,1.290077924728393555e+00,3.067961661145091057e-03,4.632622003555297852e-01,-6.596117466688156128e-02
1.782207015631330013e+09,-6.596117466688156128e-02,-1.622951745986938477e+00,1.290077924728393555e+00,3.067961661145091057e-03,4.663301706314086914e-01,-6.596117466688156128e-02
1.782207015641281605e+09,-6.596117466688156128e-02,-1.626019716262817383e+00,1.293145895004272461e+00,3.067961661145091057e-03,4.678641557693481445e-01,-6.442719697952270508e-02
1.782207015651234627e+09,-6.596117466688156128e-02,-1.629087686538696289e+00,1.293145895004272461e+00,3.067961661145091057e-03,4.709321260452270508e-01,-6.442719697952270508e-02
1.782207015661149740e+09,-6.442719697952270508e-02,-1.630621671676635742e+00,1.293145895004272461e+00,3.067961661145091057e-03,4.755340516567230225e-01,-6.442719697952270508e-02
1.782207015671263218e+09,-6.442719697952270508e-02,-1.630621671676635742e+00,1.293145895004272461e+00,3.067961661145091057e-03,4.770680367946624756e-01,-6.442719697952270508e-02
1.782207015681171656e+09,-6.289321184158325195e-02,-1.630621671676635742e+00,1.293145895004272461e+00,3.067961661145091057e-03,4.801360070705413818e-01,-6.442719697952270508e-02
1.782207015691256285e+09,-6.289321184158325195e-02,-1.630621671676635742e+00,1.294679880142211914e+00,3.067961661145091057e-03,4.832039475440979004e-01,-6.442719697952270508e-02
1.782207015701318026e+09,-6.135923415422439575e-02,-1.630621671676635742e+00,1.294679880142211914e+00,3.067961661145091057e-03,4.847379326820373535e-01,-6.442719697952270508e-02
1.782207015711978197e+09,-6.135923415422439575e-02,-1.630621671676635742e+00,1.294679880142211914e+00,3.067961661145091057e-03,4.878059029579162598e-01,-6.289321184158325195e-02
1.782207015721186399e+09,-6.135923415422439575e-02,-1.630621671676635742e+00,1.294679880142211914e+00,3.067961661145091057e-03,4.908738732337951660e-01,-6.289321184158325195e-02
1.782207015731493711e+09,-5.982525274157524109e-02,-1.630621671676635742e+00,1.294679880142211914e+00,3.067961661145091057e-03,4.924078583717346191e-01,-6.289321184158325195e-02
1.782207015741165638e+09,-5.829127132892608643e-02,-1.630621671676635742e+00,1.296213746070861816e+00,3.067961661145091057e-03,4.954757988452911377e-01,-6.289321184158325195e-02
1.782207015751264095e+09,-5.829127132892608643e-02,-1.630621671676635742e+00,1.296213746070861816e+00,3.067961661145091057e-03,4.970097839832305908e-01,-6.289321184158325195e-02
1.782207015762021303e+09,-5.675728991627693176e-02,-1.630621671676635742e+00,1.296213746070861816e+00,3.067961661145091057e-03,4.985437691211700439e-01,-6.289321184158325195e-02
1.782207015771180868e+09,-5.675728991627693176e-02,-1.630621671676635742e+00,1.296213746070861816e+00,3.067961661145091057e-03,5.016117095947265625e-01,-6.289321184158325195e-02
1.782207015781192303e+09,-5.522330850362777710e-02,-1.630621671676635742e+00,1.299281716346740723e+00,3.067961661145091057e-03,5.031456947326660156e-01,-6.289321184158325195e-02
1.782207015791619539e+09,-5.522330850362777710e-02,-1.630621671676635742e+00,1.302349686622619629e+00,3.067961661145091057e-03,5.046796798706054688e-01,-6.289321184158325195e-02
1.782207015801172972e+09,-5.522330850362777710e-02,-1.630621671676635742e+00,1.303883671760559082e+00,3.067961661145091057e-03,5.046796798706054688e-01,-6.289321184158325195e-02
1.782207015811499834e+09,-5.522330850362777710e-02,-1.630621671676635742e+00,1.306951642036437988e+00,3.067961661145091057e-03,5.046796798706054688e-01,-6.135923415422439575e-02
1.782207015821239233e+09,-5.522330850362777710e-02,-1.630621671676635742e+00,1.310019612312316895e+00,3.067961661145091057e-03,5.031456947326660156e-01,-6.135923415422439575e-02
